City,Country,Continent,Latitude,Longitude,Base_Revenue_M,Operational_Risk_%,Carbon_Footprint_MT,Market_Share_%,Efficiency_Score,Quarterly_Growth_%,Calculated_Revenue_M,Net_Profit_Forecast_M
New York,United States,North America,40.7128,-74.006,185.2,11.2,4200,26.4,44.1,1.62,138.9,123.34
London,United Kingdom,Europe,51.5074,-0.1278,142.5,14.5,3600,22.1,39.58,7.96,106.88,91.38
Tokyo,Japan,Asia,35.6762,139.6503,190.8,7.8,4900,29.5,38.94,5.55,143.1,131.94
Sydney,Australia,Oceania,-33.8688,151.2093,95.4,9.2,2600,15.1,36.69,4.09,71.55,64.97
Mumbai,India,Asia,19.076,72.8777,128.2,26.4,7800,21.2,16.44,-0.78,96.15,70.77
Frankfurt,Germany,Europe,50.1109,8.6821,134.1,10.1,3100,23.4,43.26,-0.78,100.57,90.41
São Paulo,Brazil,South America,-23.5505,-46.6333,88.3,31.5,5900,12.8,14.97,-1.86,66.22,45.36
Dubai,UAE,Asia,25.2048,55.2708,160.6,12.4,4300,28.1,37.35,7.03,120.45,105.51
Singapore,Singapore,Asia,1.3521,103.8198,175.5,5.5,2100,33.4,83.57,4.11,131.62,124.38
Cape Town,South Africa,Africa,-33.9249,18.4241,68.0,38.2,6400,10.1,10.62,5.29,51.0,31.52
Toronto,Canada,North America,43.6532,-79.3832,112.4,11.0,2900,17.5,38.76,-2.27,84.3,75.03
Shanghai,China,Asia,31.2304,121.4737,210.1,17.1,9200,31.2,22.84,8.17,157.57,130.63
Paris,France,Europe,48.8566,2.3522,125.0,13.2,3300,19.8,37.88,6.66,93.75,81.38
Seoul,South Korea,Asia,37.5665,126.978,138.4,9.8,4100,20.5,33.76,-0.16,103.8,93.63
Austin,United States,North America,30.2672,-97.7431,145.0,8.5,3800,22.0,38.16,-0.5,108.75,99.51
Berlin,Germany,Europe,52.52,13.405,99.5,12.1,2800,14.8,35.54,-0.48,74.62,65.59
Hong Kong,Hong Kong,Asia,22.3193,114.1694,165.2,18.2,4600,27.3,35.91,0.85,123.9,101.35
Amsterdam,Netherlands,Europe,52.3676,4.9041,118.3,9.0,2400,18.9,49.29,3.27,88.72,80.74
